period,minutes_remaining,seconds_remaning,action_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_made_flag,game_date,HTM,opponent
116,3,6,57,Jump Shot,Mid-Range,Center(C),16-24 ft.,16,13,164,0,20091125,SAS,GSW
117,4,4,0,Jump Shot,Mid-Range,Left Side(L),16-24 ft.,20,-205,0,1,20091125,SAS,GSW
118,4,2,52,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,2,-18,17,0,20091125,SAS,GSW
119,4,1,48,Jump Shot,Mid-Range,Left Side(L),8-16 ft.,15,-111,112,1,20091125,SAS,GSW
120,4,0,43,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,25,225,129,0,20091125,SAS,GSW
121,1,9,37,Pullup Jump shot,Mid-Range,Left Side Center(LC),16-24 ft.,17,-136,113,1,20091128,GSW,LAL
122,1,4,2,Jump Shot,Mid-Range,Right Side(R),8-16 ft.,14,144,20,0,20091128,GSW,LAL
123,2,7,45,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,26,103,239,0,20091128,GSW,LAL
124,2,6,49,Pullup Jump shot,Above the Break 3,Center(C),24+ ft.,26,-68,261,1,20091128,GSW,LAL
125,2,6,26,Floating Jump shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,0,61,1,20091128,GSW,LAL
126,2,5,23,Jump Shot,Left Corner 3,Left Side(L),24+ ft.,23,-226,56,0,20091128,GSW,LAL
127,2,4,53,Pullup Jump shot,Mid-Range,Center(C),16-24 ft.,16,-37,156,1,20091128,GSW,LAL
128,2,4,32,Jump Shot,Mid-Range,Center(C),16-24 ft.,18,39,178,0,20091128,GSW,LAL
129,2,0,0,Jump Shot,Mid-Range,Left Side(L),8-16 ft.,11,-114,22,0,20091128,GSW,LAL
130,3,6,24,Jump Shot,Right Corner 3,Right Side(R),24+ ft.,23,233,-5,0,20091128,GSW,LAL
131,3,3,37,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,26,157,214,0,20091128,GSW,LAL
132,4,6,38,Jump Shot,Mid-Range,Center(C),16-24 ft.,18,29,184,0,20091128,GSW,LAL
133,4,5,26,Jump Shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,37,34,0,20091128,GSW,LAL
134,4,3,53,Floating Jump shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-37,36,0,20091128,GSW,LAL
135,4,1,13,Pullup Jump shot,Mid-Range,Right Side Center(RC),16-24 ft.,17,95,143,1,20091128,GSW,LAL
136,1,10,25,Floating Jump shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,6,63,0,20091130,GSW,IND
137,1,6,49,Jump Shot,Mid-Range,Center(C),16-24 ft.,19,34,187,0,20091130,GSW,IND
138,3,11,34,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,25,92,242,0,20091130,GSW,IND
139,4,1,32,Pullup Jump shot,Mid-Range,Right Side Center(RC),16-24 ft.,20,132,159,1,20091130,GSW,IND
140,4,0,18,Pullup Jump shot,Above the Break 3,Center(C),24+ ft.,26,61,263,1,20091130,GSW,IND
141,1,10,53,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,24,-205,139,0,20091201,DEN,GSW
142,1,9,4,Jump Shot,Mid-Range,Center(C),16-24 ft.,18,-32,178,0,20091201,DEN,GSW
143,1,8,34,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,20,88,187,1,20091201,DEN,GSW
144,2,10,21,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,25,128,216,0,20091201,DEN,GSW
145,2,0,16,Jump Shot,Above the Break 3,Center(C),24+ ft.,25,-40,248,1,20091201,DEN,GSW
146,3,11,13,Driving Finger Roll Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,20091201,DEN,GSW
147,3,8,7,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,24,-154,185,1,20091201,DEN,GSW
148,3,7,46,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,20,-166,122,0,20091201,DEN,GSW
149,3,5,48,Floating Jump shot,Mid-Range,Right Side(R),8-16 ft.,11,85,73,0,20091201,DEN,GSW
150,3,3,6,Jump Shot,Above the Break 3,Center(C),24+ ft.,25,-73,248,0,20091201,DEN,GSW
151,3,0,39,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,20091201,DEN,GSW
152,3,0,5,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,20091201,DEN,GSW
153,4,5,8,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,24,154,193,0,20091201,DEN,GSW
154,4,3,12,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,21,133,175,0,20091201,DEN,GSW
155,1,11,12,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,16,-97,129,0,20091203,GSW,HOU
156,1,8,47,Pullup Jump shot,Left Corner 3,Left Side(L),24+ ft.,23,-231,1,1,20091203,GSW,HOU
157,1,4,5,Floating Jump shot,In The Paint (Non-RA),Center(C),8-16 ft.,9,-49,86,0,20091203,GSW,HOU
158,1,3,37,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,24,-210,123,0,20091203,GSW,HOU
159,3,9,52,Floating Jump shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,20,72,1,20091203,GSW,HOU
160,3,7,33,Jump Shot,Above the Break 3,Center(C),24+ ft.,26,-13,261,0,20091203,GSW,HOU
161,4,10,2,Floating Jump shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-34,30,1,20091203,GSW,HOU
162,4,7,17,Pullup Jump shot,Mid-Range,Right Side(R),16-24 ft.,16,140,94,1,20091203,GSW,HOU
163,1,10,46,Step Back Jump shot,Mid-Range,Right Side Center(RC),16-24 ft.,20,72,187,1,20091205,GSW,ORL
164,1,9,51,Pullup Jump shot,Mid-Range,Right Side Center(RC),16-24 ft.,19,147,131,1,20091205,GSW,ORL
165,1,8,13,Step Back Jump shot,Mid-Range,Center(C),16-24 ft.,22,20,220,1,20091205,GSW,ORL
166,1,4,46,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,2,20,15,1,20091205,GSW,ORL
167,2,10,10,Jump Shot,Mid-Range,Left Side(L),16-24 ft.,16,-169,9,0,20091205,GSW,ORL
168,3,9,35,Jump Shot,Mid-Range,Center(C),16-24 ft.,17,-45,170,0,20091205,GSW,ORL
169,3,2,27,Floating Jump shot,Mid-Range,Left Side(L),8-16 ft.,12,-123,1,1,20091205,GSW,ORL
170,3,0,40,Jump Shot,Right Corner 3,Right Side(R),24+ ft.,23,231,-16,0,20091205,GSW,ORL
171,3,0,1,Jump Shot,Mid-Range,Center(C),16-24 ft.,21,31,209,0,20091205,GSW,ORL
172,4,11,41,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,1,-8,17,1,20091205,GSW,ORL
173,4,9,13,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,27,181,205,0,20091205,GSW,ORL
174,4,8,25,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,16,-133,102,0,20091205,GSW,ORL
175,1,7,14,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,17,86,153,1,20091207,OKC,GSW
176,1,2,10,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,24,190,153,0,20091207,OKC,GSW
177,1,1,53,Jump Shot,Mid-Range,Center(C),16-24 ft.,17,29,173,1,20091207,OKC,GSW
178,2,10,50,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,20091207,OKC,GSW
179,2,5,1,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,20091207,OKC,GSW
180,2,4,24,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,20091207,OKC,GSW
181,3,9,59,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,24,119,214,1,20091207,OKC,GSW
182,3,0,33,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,23,78,220,0,20091207,OKC,GSW
183,4,10,55,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,21,88,195,1,20091207,OKC,GSW
184,4,9,2,Jump Shot,Mid-Range,Left Side(L),8-16 ft.,15,-122,96,0,20091207,OKC,GSW
185,4,8,37,Reverse Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,20091207,OKC,GSW
186,4,3,55,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,24,132,201,1,20091207,OKC,GSW
187,4,3,31,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,24,130,208,0,20091207,OKC,GSW
188,4,0,48,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,20091207,OKC,GSW
189,1,11,37,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,20091209,NJN,GSW
190,1,10,30,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,16,103,132,1,20091209,NJN,GSW
191,1,9,40,Jump Shot,Above the Break 3,Center(C),24+ ft.,24,64,236,0,20091209,NJN,GSW
192,1,6,6,Jump Shot,Mid-Range,Right Side(R),8-16 ft.,15,125,99,0,20091209,NJN,GSW
193,1,5,32,Jump Shot,Above the Break 3,Center(C),24+ ft.,24,-43,246,0,20091209,NJN,GSW
194,1,3,18,Driving Finger Roll Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,20091209,NJN,GSW
195,1,2,46,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,25,168,187,0,20091209,NJN,GSW
196,2,9,33,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,20091209,NJN,GSW
197,2,7,49,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,23,147,187,1,20091209,NJN,GSW
